epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.427,1.35845,2.43206,1.53898,0.52112,0.63492,0.50643,0.29546,1.41136,4.745,1.61535,0.00032867,0.00032867,0.00032867
2,280.618,1.18271,1.83909,1.38974,0.69103,0.46032,0.46145,0.23085,1.3131,3.85506,1.49941,0.000658332,0.000658332,0.000658332
3,424.026,1.3456,1.9449,1.49055,0.43038,0.31746,0.34788,0.21027,1.69711,7.088,1.87851,0.000974412,0.000974412,0.000974412
4,554.149,1.24906,1.79702,1.4242,0.22131,0.31746,0.29956,0.17668,1.98512,9.93767,2.22455,0.00127691,0.00127691,0.00127691
5,685.805,1.33292,1.94063,1.43058,0.40945,0.36787,0.26661,0.14283,1.6931,4.785,1.78826,0.00131582,0.00131582,0.00131582
6,819.895,1.27664,1.67381,1.38111,0.55711,0.44424,0.27429,0.21366,1.21482,5.74598,1.41122,0.00128753,0.00128753,0.00128753
7,950.865,1.30335,1.68829,1.43461,0.33253,0.37302,0.31309,0.15841,1.49565,5.2281,1.64385,0.00125923,0.00125923,0.00125923
8,1082.73,1.27202,1.556,1.41708,0.27933,0.21429,0.15312,0.07393,1.67036,3.5845,2.09361,0.00123094,0.00123094,0.00123094
9,1217.91,1.29156,1.67623,1.4126,0.22365,0.37125,0.28253,0.13324,1.70679,2.81358,1.7373,0.00120265,0.00120265,0.00120265
10,1351.91,1.29347,1.51161,1.40431,0.43482,0.52892,0.43084,0.23263,1.7595,2.50083,1.80988,0.00117435,0.00117435,0.00117435
11,1495.31,1.22609,1.53008,1.37931,0.61347,0.65988,0.58662,0.29193,1.64632,2.21784,1.84183,0.00114606,0.00114606,0.00114606
12,1666.73,1.28821,1.57651,1.42181,0.29315,0.37302,0.32539,0.20896,1.72005,3.04346,1.58819,0.00111776,0.00111776,0.00111776
13,1829.88,1.16275,1.45006,1.33425,0.20823,0.46742,0.2674,0.13843,2.03101,3.16173,2.26392,0.00108947,0.00108947,0.00108947
14,1963.14,1.20177,1.40402,1.37118,0.5211,0.45693,0.34785,0.17647,1.74601,2.59358,1.7763,0.00106118,0.00106118,0.00106118
15,2114.37,1.23261,1.45725,1.38796,0.75025,0.54332,0.56549,0.2737,1.88692,2.34223,1.94838,0.00103288,0.00103288,0.00103288
16,2269.4,1.12869,1.32585,1.31677,0.58817,0.66513,0.64002,0.26939,1.48992,2.24677,1.59426,0.00100459,0.00100459,0.00100459
17,2406.13,1.09578,1.29434,1.30665,0.46311,0.52001,0.54824,0.26936,1.56972,1.59468,1.61516,0.000976293,0.000976293,0.000976293
18,2559.29,1.09972,1.28573,1.30698,0.35238,0.71896,0.50192,0.26983,1.59159,1.81015,1.75953,0.000947999,0.000947999,0.000947999
19,2710.13,1.06542,1.2242,1.30004,0.52277,0.6685,0.60584,0.36105,1.39201,2.04628,1.50099,0.000919704,0.000919704,0.000919704
20,2843.31,1.01235,1.20749,1.25762,0.6576,0.63788,0.61891,0.37317,1.28943,1.66173,1.53264,0.00089141,0.00089141,0.00089141
21,2975.31,1.02256,1.14296,1.26875,0.50452,0.69048,0.71023,0.34923,1.58585,1.81955,1.55519,0.000863116,0.000863116,0.000863116
22,3108.54,1.05712,1.19657,1.2761,0.76245,0.62716,0.74155,0.43001,1.60959,1.46249,1.6659,0.000834822,0.000834822,0.000834822
23,3243.12,0.99344,1.11751,1.24041,0.59475,0.7095,0.62514,0.38456,1.63056,1.36813,1.67244,0.000806528,0.000806528,0.000806528
24,3377.34,0.99138,1.11715,1.25998,0.51293,0.64286,0.5752,0.30242,1.67396,1.5222,1.72905,0.000778233,0.000778233,0.000778233
25,3510.86,1.04298,1.18126,1.26593,0.6393,0.63492,0.68347,0.37637,1.74266,1.37423,1.76169,0.000749939,0.000749939,0.000749939
26,3641.7,1.00722,1.12111,1.26001,0.58604,0.57143,0.58023,0.33349,1.72915,1.45576,1.70061,0.000721645,0.000721645,0.000721645
27,3774.22,0.90133,1.05037,1.20008,0.76034,0.59719,0.72945,0.42032,1.50529,1.45078,1.63395,0.000693351,0.000693351,0.000693351
28,3906.85,0.90015,1.05785,1.20174,0.64063,0.73291,0.68341,0.40852,1.54533,1.46425,1.77302,0.000665057,0.000665057,0.000665057
29,4038.57,0.93184,1.01649,1.21171,0.67773,0.6724,0.68039,0.37606,1.77891,1.40914,1.82335,0.000636762,0.000636762,0.000636762
30,4173.97,0.94351,1.01597,1.21377,0.7307,0.69048,0.68779,0.37902,1.83403,1.56036,1.89517,0.000608468,0.000608468,0.000608468
31,4308.82,0.90304,0.98768,1.17989,0.65215,0.81954,0.7897,0.36708,1.66318,1.61275,2.04491,0.000580174,0.000580174,0.000580174
32,4457.32,0.90957,0.96839,1.20497,0.5809,0.87538,0.7136,0.31938,1.69575,1.33165,1.99918,0.00055188,0.00055188,0.00055188
33,4605.57,0.83118,0.88657,1.14396,0.53833,0.62233,0.6211,0.32649,1.56981,1.35059,1.87753,0.000523586,0.000523586,0.000523586
34,4751.25,0.82922,0.87275,1.15416,0.62021,0.64759,0.64439,0.36988,1.49816,1.28611,1.53037,0.000495291,0.000495291,0.000495291
35,4899.34,0.85455,0.89172,1.16301,0.6508,0.57937,0.61823,0.3295,1.70475,1.28028,1.69427,0.000466997,0.000466997,0.000466997
36,5044.28,0.81742,0.84784,1.13044,0.47143,0.70678,0.57469,0.27727,1.80762,1.3063,1.92655,0.000438703,0.000438703,0.000438703
37,5190.58,0.83335,0.85459,1.15141,0.54431,0.66271,0.63667,0.33793,1.7331,1.18385,1.8294,0.000410409,0.000410409,0.000410409
38,5335.67,0.79627,0.82335,1.12898,0.46818,0.5873,0.57054,0.30938,1.69976,1.55004,1.73623,0.000382115,0.000382115,0.000382115
39,5480.09,0.72109,0.77837,1.1044,0.65175,0.67003,0.68654,0.37087,1.56698,1.58097,1.6696,0.00035382,0.00035382,0.00035382
40,5621.39,0.75461,0.81595,1.1137,0.76151,0.68427,0.75671,0.39458,1.64841,1.40237,1.76406,0.000325526,0.000325526,0.000325526
41,5762.64,0.72141,0.87879,1.10583,0.61146,0.82301,0.71999,0.38093,1.77605,1.22779,1.99645,0.000297232,0.000297232,0.000297232
42,5901.1,0.68141,0.72686,1.09757,0.59016,0.65443,0.62864,0.36599,1.87375,1.44207,2.20614,0.000268938,0.000268938,0.000268938
43,6042.45,0.66865,0.72041,1.05305,0.69859,0.76175,0.73956,0.34156,1.86825,1.2136,2.11195,0.000240644,0.000240644,0.000240644
44,6188.71,0.69192,0.66741,1.08013,0.5845,0.68254,0.62688,0.34267,1.83132,1.14039,1.9697,0.000212349,0.000212349,0.000212349
45,6330.24,0.70776,0.63413,1.06053,0.71877,0.61172,0.67726,0.37715,1.64563,1.38937,1.87378,0.000184055,0.000184055,0.000184055
46,6469.78,0.64778,0.58705,1.02644,0.55172,0.7381,0.66166,0.36596,1.67127,1.35596,1.95708,0.000155761,0.000155761,0.000155761
47,6615.71,0.63934,0.56286,1.03465,0.64803,0.6924,0.68462,0.36918,1.73612,1.29346,1.91794,0.000127467,0.000127467,0.000127467
48,6755.77,0.62978,0.52808,1.01049,0.64974,0.78833,0.74044,0.38977,1.75918,1.37777,1.8919,9.91726e-05,9.91726e-05,9.91726e-05
49,6896.06,0.59723,0.55763,1.00101,0.67606,0.83562,0.77207,0.38187,1.76972,1.37466,1.88968,7.08784e-05,7.08784e-05,7.08784e-05
50,7036.94,0.59905,0.53431,0.99939,0.7416,0.68254,0.76371,0.37362,1.75849,1.32162,1.89089,4.25842e-05,4.25842e-05,4.25842e-05
